Left context;Center;Right context;Publ_year;Sphere;Type;Medium;Full context
 мне снова и снова, я ; без устали ;слушать готова, трам-драм ;2009 ;художественная ;роман ;книга ; Говорите мне о любви, говорите мне снова и снова, я без устали слушать готова, трам-драм, зови!  [Василий Аксенов. Таинственная страсть (2007)] [омонимия не снята]
 снобизм, равно как и особенность ; без устали ;шагать по горам милю ;2007 ;художественная ;роман ;книга ; Его снобизм, равно как и особенность без устали шагать по горам милю за милей, в конце концов оказались красной тряпкой даже для самых миролюбивых.  [Илья Бояшов. Путь Мури (2007)] [омонимия не снята]
 не вылезая из бассейна и ; без устали ;подвергая своих подопечных всевозможным ;2007 ;художественная ;роман ;книга ; Океанолог Джон Дили, не вылезая из бассейна и без устали подвергая своих подопечных всевозможным опытам, обещал ему долгожданный прорыв.  [Илья Бояшов. Путь Мури (2007)] [омонимия не снята]
 с птицами, но и бежать ; без устали ;много дней особым скоком ;2009 ;художественная ;роман ;книга ; О, брат Мамур умеет не только взвиваться в воздух и сидеть рядом с птицами, но и бежать без устали много дней особым скоком.  [Михаил Гиголашвили. Чертово колесо (2007)] [омонимия не снята]
 мог быть необычайно нежен, целовал ; без устали ;устали, я нутром ощущала его ;2009 ;художественная ;повесть ;журнал ; Зверь мог быть необычайно нежен, целовал без устали, я нутром ощущала его, и он так же хорошо угадывал мой готовящийся обвал.  [Михаил Гиголашвили. Экобаба и дикарь (1998-2007) // «Зарубежные записки», 2009] [омонимия не снята]
 испытывает жажды мщенья, всегда сконцентрирован, ; без устали ;использует все свои возможности ;2007 ;публицистика ,  нехудожественная ;статья ;журнал ; Он не испытывает жажды мщенья, всегда сконцентрирован, без устали использует все свои возможности.  [Е. Гик. Шахматы в художественной литературе // «Наука и жизнь», 2007] [омонимия не снята]
 яркий живой металл, который плясал ; без устали ;устали, желая вырваться из тесных ;2007 ;художественная ;рассказ ;книга ; Они и были ? яркий живой металл, который плясал без устали, желая вырваться из тесных объятий горна.  [Юрий Гордиенко. Мы нарисовали небо (2007)] [омонимия не снята]
 психологически, забыв, что раньше они ; без устали ;махали ломами и топорами ;2008 ;художественная ;роман ;книга ; Женщины дряхлели психологически, забыв, что раньше они без устали махали ломами и топорами на стройках, таскали шпалы и части рельсов на железнодорожных работах, волокли ведра и носилки, полные неподъемного раствора.  [Михаил Елизаров. Библиотекарь (2007)] [омонимия не снята]
  И все они исправно, ; без устали ;устали, едва ли не всякий ;2008 ;художественная ;рассказ ;журнал ; И все они исправно, без устали, едва ли не всякий день демонстрировали свою фамильную малограмотность, свои неверные ударения, свою родную незамысловатость ? все ту же социальную близость!  [Леонид Зорин. Медный закат (2007) // «Знамя», 2008] [омонимия не снята]
  Читай.  Читай ; без устали ;устали.  Решай кроссворды.  ;2007 ;художественная ;роман ;журнал ; Читай.  Читай без устали.  Решай кроссворды.  [Александр Иличевский. Матисс // «Новый Мир», 2007] [омонимия не снята]
  Вены города ; без устали ;гнали тёмную кровь, но ;2007 ;художественная ;рассказ ;книга ; Вены города без устали гнали тёмную кровь, но куда она уходила, оставалось загадкой.  [Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007)] [омонимия не снята]
 засаленными обоями, стучал на машинке ; без устали ;устали.  ;2006 ;публицистика ,  нехудожественная ;мемуары ;книга ;  Покойный филологический академик Аверинцев, примерно такой же великий, как ваш математический Арнольд, рассказывал мне, что все это лето он просидел взаперти в своем кабинетике с засаленными обоями, стучал на машинке без устали.  [Александр Архангельский. 1962. Послание к Тимофею (2006)] [омонимия не снята]
 Почему корова преклонного возраста продолжает ; без устали ;поставлять молоко, да еще ;2006 ;публицистика ,  нехудожественная ;заметка ;журнал ; Почему корова преклонного возраста продолжает без устали поставлять молоко, да еще в таких количествах?  [Как мало мы о них знаем // «Знание - сила», 2006] [омонимия не снята]
 любовно смотрела на него, часами ; без устали ;вела беседы то об ;1997 ;художественная ;роман ;книга ; Привозила Саше сначала игрушки, потом коньки и клюшки, любовно смотрела на него, часами без устали вела беседы то об индейцах Америки, то о водителях фрегатов, то о мировой политической арене.  [Василий Аксенов. Новый сладостный стиль (2005)] [омонимия не снята]
 это новшество и жалел ее ; без устали ;устали.  ;1997 ;художественная ;роман ;книга ; Он откликался на это новшество и жалел ее без устали.  [Василий Аксенов. Новый сладостный стиль (2005)] [омонимия не снята]
   Внизу, во дворе гостиницы, ; без устали ;играющий на аккордеоне начпрод ;2005 ;художественная ;роман ;книга ;  Внизу, во дворе гостиницы, без устали играющий на аккордеоне начпрод завел вальс «На сопках Маньчжурии».  [Вацлав Михальский. Для радости нужны двое (2005)] [омонимия не снята]
 вращали там жернова, и механик ; без устали ;пускался пешим в дальние ;2009 ;художественная ;рассказ ;книга ;  «Машина» разрасталась, ее ремни достигли дальних земель и вращали там жернова, и механик без устали пускался пешим в дальние дороги: стыдить непокорных князей, устраивать монастыри и церкви, крестить великокняжеских сыновей.  [Александр Терехов. Коммуналка (1995-2005)] [омонимия не снята]
  Подростки и молодежь ; без устали ;бегали гуськом вдоль зрителей ;2004;публицистика ,  нехудожественная ;репортаж ;журнал ; Подростки и молодежь без устали бегали гуськом вдоль зрителей, пришедших посмотреть концерт народных коллективов.  [Ольга Акулова, Герман Арутюнов. «Широкая Масленица» в Москве (2004) // «Народное творчество», 2004.02.16] [омонимия не снята]
  Муж ; без устали ;знакомил меня с любимыми ;2004 ;публицистика ,  нехудожественная ;мемуары ;книга ; Муж без устали знакомил меня с любимыми местами.  [Лидия Вертинская. Синяя птица любви (2004)] [омонимия не снята]
 драгоценные стеклышки, будет перебирать их ; без устали ;устали.  ;1987 ;художественная ;роман ;книга ; Спросите любого, было ли у него в жизни что-нибудь счастливое, безмятежное, и он, конечно, вспомнит свою повозочку, свою няньку, свою матушку, укутывающую его беличьим одеяльцем, вытряхнет из заветного мешочка свои, ему лишь одному драгоценные стеклышки, будет перебирать их без устали.  [Михаил Шишкин. Всех ожидает одна ночь (1993-2003)] [омонимия не снята]
 ранней весны до глубокой осени, ; без устали ;перенося на холст притягательную ;2003;публицистика ,  нехудожественная ;заметка ;журнал ; Купил небольшой домишко и обитал в нем с ранней весны до глубокой осени, без устали перенося на холст притягательную красоту здешних мест.  [«Утонченной жизни цвет» (2003) // «Сельская новь», 2003.12.16] [омонимия не снята]
 Вообще, японцы верны себе и ; без устали ;изобретают всевозможные полезные диковинки ;2003;публицистика ,  нехудожественная ;заметка ;журнал ;  Вообще, японцы верны себе и без устали изобретают всевозможные полезные диковинки.  [Бессмертные джинсы (2003) // «100% здоровья», 2003.02.14] [омонимия не снята]
 продолжают хранить тибетские традиции и ; без устали ;работать над собой.  ;2003 ;публицистика ,  нехудожественная ;заметка ;газета ; Там, на юге страны, он воссоздали монастырь, где монахи продолжают хранить тибетские традиции и без устали работать над собой.  [Монастырь Гьюдмед // «Пятое измерение», 2003] [омонимия не снята]
 машин было штук двадцать, помпы ; без устали ;качали воду Невы, бойцы ;2002 ;публицистика ,  нехудожественная ;мемуары ;журнал ; Пожарных машин было штук двадцать, помпы без устали качали воду Невы, бойцы ломали крышу, но пламя распространялось меж перекрытиями и по каналам старой системы печного отопления.  [Владимир Арро. Дом прибежища // «Звезда», 2002] [омонимия не снята]
 грязь и мерзость конкретного человека ? ; без устали ;воспевал человека абстрактного, никем ;2003 ;художественная ;роман ;книга ;" Чтобы уравновесить это жестокое зрение, он постоянно впадал в экзальтацию и пафос; видя всю грязь и мерзость конкретного человека ? без устали воспевал человека абстрактного, никем не виданного, небывалого.  [Дмитрий Быков. Орфография (2002)] [омонимия не снята]"
  Работала Доронина ; без устали ;устали, на губах все чаще ;2002 ;публицистика ,  нехудожественная ;мемуары ;журнал ; Работала Доронина без устали, на губах все чаще появлялась невеселая улыбка.  [Виталий Вульф. Преодоление себя (из книги «Серебряный шар») // «Октябрь», 2002] [омонимия не снята]
 Абсолютное превосходство исключало зависть, которая ; без устали ;примеряется и сравнивает.  ;2002 ;художественная ;роман ;журнал ;  Абсолютное превосходство исключало зависть, которая без устали примеряется и сравнивает.  [Сергей Гандлевский. НРЗБ // «Знамя», 2002] [омонимия не снята]
 Но разве не древнейшие ваятели ; без устали ;творили их, покрывая песок ;2002 ;публицистика ,  нехудожественная ;монография ;книга ; Но разве не древнейшие ваятели без устали творили их, покрывая песок тончайшей сканью ? кажется, лишь для того, чтобы через несколько часов, смыв сотворенное приливной волной, вновь приступить к работе, играючи бахвалясь друг перед другом своим мастерством?  [Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)] [омонимия не снята]
 сотворен из крошечных раковин, которые ; без устали ;рожает теплое море, летели ;2002 ;публицистика ,  нехудожественная ;монография ;книга ; Из камышовых плавней Киркинитского залива, с Лебяжьих островов у северной оконечности Крыма, где берег сотворен из крошечных раковин, которые без устали рожает теплое море, летели они сюда, к голубым тундровым озеркам, где последние клады живой и мертвой воды, где рай для них, рай, потому что нет нас, людей…  [Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)] [омонимия не снята]
  Оно грызет мир ; без устали ;устали, как крыса.  ;2002 ;публицистика ,  нехудожественная ;монография ;книга ; Оно грызет мир без устали, как крыса.  [Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)] [омонимия не снята]
 провинции Жеводан завелась неводомая зверушка, ; без устали ;терзающая женщин, детей и ;2002;публицистика ,  нехудожественная ;статья ;газета ; В провинции Жеводан завелась неводомая зверушка, без устали терзающая женщин, детей и старушек.  [Андрей Гусев. Отдыхай! (2002) // «Биржа плюс свой дом» (Н. Новгород), 2002.10.14] [омонимия не снята]
 перерабатывающий химический комбинат в миниатюре ; без устали ;снабжает организм всем ему ;2002;публицистика ,  нехудожественная ;статья ;журнал ; Этот перерабатывающий химический комбинат в миниатюре без устали снабжает организм всем ему потребным: печень синтезирует белки из аминокислот, изменяет состав жиров, превращает белки в жиры и углеводы, обезвреживает токсичные соединения, превращая их в безвредные.  [Мария Гусева. Пищеварение: варим себе пищу (2002) // «Семейный доктор», 2002.05.15] [омонимия не снята]
 Из вечера в вечер мы ; без устали ;бродили по расчерченному линиями ;2002 ;художественная ;рассказ ;журнал ; Из вечера в вечер мы без устали бродили по расчерченному линиями Васильевскому или по Петроградской.  [Андрей Ефремов. Любовь и доблесть Иоахима Тишбейна // «Октябрь», 2002] [омонимия не снята]
  ; без устали ;бегала по музеям, выставкам ;2002;публицистика ,  нехудожественная ;статья ;журнал ; Без устали бегала по музеям, выставкам, театрам, чего Уинстон терпеть не мог.  [Александр Зубков. Великий и его жена (2002) // «Домовой», 2002.10.04] [омонимия не снята]
 как улыбается весна, шагая издалека ; без устали ;устали, как ветер ерошит невесомые ;2003 ;художественная ;роман ;книга ; Однако, видимо, никто там не ходил, потому что стояла такая тишина, что можно было услышать, как в глубине реки собираются завтрашние волны, как с шорохом мягко укладывается на землю лунный свет, как под теплыми одеялами стучит сердечко Таты, как, потрескивая, ржавеет металл, как улыбается весна, шагая издалека без устали, как ветер ерошит невесомые перья на крыльях снов, как в душе зреют слезы, которые не  дано будет выплакать, как волна мягко баюкает лодку, так и не отвязанную от причала, ритмично покачивает ее ? с носа на корму, с носа на корму, с носа на корму…  [Алексей Иванов. Географ глобус пропил (2002)] [омонимия не снята]
 самоотверженном броске генерала под люстру, ; без устали ;транслирующийся региональными телеканалами, затмил ;2002 ;художественная ;роман ;книга ; Сюжет о самоотверженном броске генерала под люстру, без устали транслирующийся региональными телеканалами, затмил, особенно в среде домохозяек, все мыльные сериалы.  [Варвара Синицына. Муза и генерал (2002)] [омонимия не снята]
  Сейчас те, кто ворует ; без устали ;устали, они же наворуют до ;1999 ;художественная ;миниатюра ;книга ; Сейчас те, кто ворует без устали, они же наворуют до отрыжки, до ожирения, до неподвижности, и все…  [Анатолий Трушкин. 208 избранных страниц (1990-2002)] [омонимия не снята]
  Что же они так ; без устали ;делят?  ;2002;публицистика ,  нехудожественная ;статья ;журнал ; Что же они так без устали делят?  [Надежда Усольцева. Старший и младший. Детские войны (2002) // «Семейный доктор», 2002.12.15] [омонимия не снята]
  ? он слушал ; без устали ;устали, и выражение его лица ;2002 ;художественная ;роман ;журнал ; ? он слушал без устали, и выражение его лица менялось с той же быстротой, с которой он соскальзывал то в тенор, то в баритон, на моих глазах подпевая Галичу.  [Елена Чижова. Лавра // «Звезда», 2002] [омонимия не снята]
 в котором добро и зло ; без устали ;менялись местами и так ;2002 ;художественная ;роман ;книга ; Весь русский двадцатый век отец считал очень жестоким и очень страшным карнавалом, в котором добро и зло без устали менялись местами и так же без устали принимали обличья друг друга.  [Владимир Шаров. Воскрешение Лазаря (1997-2002)] [омонимия не снята]
  Ольшанский ; без устали ;борется с муниципальными парковками ;2002;публицистика ,  нехудожественная ;интервью ;журнал ; Ольшанский без устали борется с муниципальными парковками и инструментальным контролем и уже добился ? по крайнем мере на бумаге ? признания их незаконности.  [Сергей Шерстенников. Санитар права (2002) // «Автопилот», 2002.11.15] [омонимия не снята]
  Глубокий ростковый слой кожи ; без устали ;дает жизнь юным клеткам ;2002;публицистика ,  нехудожественная ;статья ;журнал ; Глубокий ростковый слой кожи без устали дает жизнь юным клеткам.  [Как снег на голову (2002) // «Семейный доктор», 2002.05.15] [омонимия не снята]
  Итальянцы ; без устали ;рассказывали о своей фабрике ;2002 ;публицистика ,  нехудожественная ;заметка ;журнал ; Итальянцы без устали рассказывали о своей фабрике, любимых клиентах (Элтоне Джоне, Мике Джаггере, семье Версаче, королевских семьях Марокко и Иордании и проч.  [Новости домашние (2002) // «Домовой», 2002.09.04] [омонимия не снята]
 от батарейки АА и способен ; без устали ;разминать напряженные мышцы в ;2002;публицистика ,  нехудожественная ;заметка ;журнал ; Вибромеханизм работает от батарейки АА и способен без устали разминать напряженные мышцы в течение нескольких часов.  [Штучки (2002) // «Автопилот», 2002.04.15] [омонимия не снята]
 посмотреть… ? Значит, вы утверждаете, ? гнул ; без устали ;Анатольич, ? что сдавали ключ ;2002 ;художественная ;роман ;книга ; И на рожу твою пыльную посмотреть… ? Значит, вы утверждаете, ? гнул без устали Анатольич, ? что сдавали ключ на посту охраны именно охраннику Федору Подлесному?  [Александр Гаррос, Алексей Евдокимов. [Голово]ломка (2001)] [омонимия не снята]
  Эту любовь он ; без устали ;провозглашал на пиру и ; ;художественная ;роман ;книга ; Эту любовь он без устали провозглашал на пиру и на охоте, открывал знакомым и незнакомым, аристократам и землепашцам.  [Марина Дяченко, Сергей Дяченко. Магам можно все (2001)] [омонимия не снята]
 устаю восхищаться прихотливости узоров, которые ; без устали ;вышивает судьба по тоненькой ;2002 ;художественная ;роман ;книга ; Его сажали, с ним воевал маршал Тито, его выслали, а был он тихий, склонный к невинному сибаритству, рассеянный и смешливый человек, недавно женатый к тому же на советской девушке ? дочери соседей Тани Агаповой по переделкинской даче, ? и в сотый раз не устаю восхищаться прихотливости узоров, которые без устали вышивает судьба по тоненькой канве наших коротких жизней.  [Николай Климонтович. Далее ? везде (2001)] [омонимия не снята]
 я.  Очень старалась и работала ; без устали ;устали.  Видела, как все замирают ;2001 ;публицистика ,  нехудожественная ;мемуары ;книга ; Тогда он вел помимо прочих и танцевальный дуэт (Бережкову и Рыжкина), танцами хотела заняться и я.  Очень старалась и работала без устали.  Видела, как все замирают, когда он приходит на каток, как все хотят показать ему самое лучшее из того, что сделано.  [Татьяна Тарасова, Виталий Мелик-Карамов. Красавица и чудовище (1984-2001)] [омонимия не снята]
  Словом, ; без устали ;напоминает родителям о том ;2001 ;публицистика ,  нехудожественная ;статья ;газета ; Словом, без устали напоминает родителям о том, что жизнь продолжается.  [Алексей Митрофанов. Строгинский вечер (2001) // «Известия», 2001.06.24] [омонимия не снята]
   Каждый день она ; без устали ;молилась в постоянно набитой ;2003 ;художественная ;роман ;книга ;  Каждый день она без устали молилась в постоянно набитой людьми корабельной церквушке.  [Вацлав Михальский. Весна в Карфагене (2001)] [омонимия не снята]
 полуголодных беженцев ? одна за другой, ; без устали ;и без пощады.  ;2003 ;художественная ;роман ;книга ;  Небольшой, но плотный ветерок дул строго с берега, и волны дразнящих запахов наплывали с набережной Бизерты на русские корабли в гавани, на полуголодных беженцев ? одна за другой, без устали и без пощады.  [Вацлав Михальский. Весна в Карфагене (2001)] [омонимия не снята]
  Они ; без устали ;катались на лошадях, выходили ;2003 ;художественная ;роман ;книга ;" Они без устали катались на лошадях, выходили в открытое море на губернаторской яхте ? дважды доплывали до Сицилии, возвращались всю ночь и приплывали в Бизерту на зеленом рассвете; часами стреляли в гарнизонном тире из пистолетов.  [Вацлав Михальский. Весна в Карфагене (2001)] [омонимия не снята]"
  Ради нее мы ; без устали ;учимся ? всему, что попадается ;2001 ;художественная ;рассказ, цикл ;книга ; Ради нее мы без устали учимся ? всему, что попадается.  [Татьяна Набатникова. День рождения кошки (2001)] [омонимия не снята]
 истово принялись у нее учиться, ; без устали ;импортируя кадры и идеи ;2001;публицистика ,  нехудожественная ;статья ;газета ; После того как закончилось отлучение английских клубов от Европы, те истово принялись у нее учиться, без устали импортируя кадры и идеи.  [Дмитрий Навоша. Англия, Англия. У премьер-лиги новый лидер ? «Ньюкасл» (2001) // «Известия», 2001.12.24] [омонимия не снята]
  Это они ; без устали ;гнали сюда теплый и ;2001;публицистика ,  нехудожественная ;статья ;газета ; Это они без устали гнали сюда теплый и влажный воздух незамерзающей Атлантики.  [Ирина Павлова. Зима достала... (2001) // «Аргументы и факты», 2001.03.07] [омонимия не снята]
  Сами игроки ; без устали ;повторяют о высокой чести ;2001;публицистика ,  нехудожественная ;статья ;газета ; Сами игроки без устали повторяют о высокой чести надеть свитер с российским гербом на груди, но порой демонстрируют в матчах за сборную столь безвольную игру, что начинает казаться ? пребывание на льду для них в тягость.  [Алексей Панин. Кризис роста. Сборная России возрождается, умирая (2001) // «Известия», 2001.12.21] [омонимия не снята]
 Евгений услышал певчих птиц, которые ; без устали ;радовались весне.  ;2001 ;художественная ;рассказ, цикл ;книга ; Закричали вороны, и только теперь, благодаря воронам, Евгений услышал певчих птиц, которые без устали радовались весне.  [Юрий Петкевич. Явление ангела (2001)] [омонимия не снята]
 Рассказывать о Чукотке она может ; без устали ;устали.  ;2001 ;публицистика ,  нехудожественная ;очерк, цикл ;журнал ; Рассказывать о Чукотке она может без устали.  [Валерий Писигин. Письма с Чукотки // «Октябрь», 2001] [омонимия не снята]
 заставить Жучку и Джульбарса работать ; без устали ;устали.  ;2001 ;художественная ;роман ;книга ; Таков единственный способ заставить Жучку и Джульбарса работать без устали.  [Валериан Скворцов. Каникулы вне закона (2001)] [омонимия не снята]
 нужно.   Зато помощники волшебника работают ; без устали ;устали.  На улице минус тридцать ;2001;публицистика ,  нехудожественная ;статья ;газета ; ? Дед Мороз ? тоже человек, ему отдохнуть перед праздниками нужно.   Зато помощники волшебника работают без устали.  На улице минус тридцать, а на почте Деда Мороза жарко.  [Людмила Соколова. Ждите Деда Мороза. Наша Снегурочка уже передала ваши письма доброму волшебнику (2001) // «Известия», 2001.12.21] [омонимия не снята]
  Между тем сайты сепаратистов ; без устали ;распространяют сведения об огромных ;2001;публицистика ,  нехудожественная ;статья ;газета ; Между тем сайты сепаратистов без устали распространяют сведения об огромных потерях федеральных войск.  [Александр Чуйков. Все под контролем. В катастрофе Ми-24 погибли двое военнослужащих (2001) // «Известия», 2001.08.16] [омонимия не снята]
  Но в Штутгарте работали ; без устали ;над машиной W125, чудовищным ;2001;публицистика ,  нехудожественная ;статья ;журнал ; Но в Штутгарте работали без устали над машиной W125, чудовищным автомобилем, который должен был сокрушить мощь Auto Union.  [Лев Шугуров. «Четыре кольца» против «трех лучей» (2001) // «Формула», 2001.12.15] [омонимия не снята]
  А чекисты ; без устали ;распространяют анекдоты и частушки ;2001 ;публицистика ,  нехудожественная ;монография ;книга ; А чекисты без устали распространяют анекдоты и частушки про Хрущева.  [Александр Яковлев. Омут памяти. Т.1 (2001)] [омонимия не снята]
   Твардовский ; без устали ;воевал с цензурой, писал ;2001 ;публицистика ,  нехудожественная ;монография ;книга ;  Твардовский без устали воевал с цензурой, писал письма в ЦК, в секретариат Союза писателей СССР.  [Александр Яковлев. Омут памяти. Т.1 (2001)] [омонимия не снята]
   Эта кампания велась ; без устали ;устали, но особенно усилилась в ;2001 ;публицистика ,  нехудожественная ;монография ;книга ;  Эта кампания велась без устали, но особенно усилилась в 1991 году, когда началась подготовка к путчу.  [Александр Яковлев. Омут памяти. Т.1 (2001)] [омонимия не снята]
 наличии экспериментальной базы (над этим ; без устали ;трудится наука) рано или ;2001 ;публицистика ,  нехудожественная ;эссе ;журнал ; При наличии экспериментальной базы (над этим без устали трудится наука) рано или поздно удастся определить с достаточной для практических целей точностью передаточную функцию человека ? его реакции на те или иные воздействия ? и тогда предсказуемым станет каждый его шаг, каждый поступок, даже каждая мысль.  [Станислав Яржембовский. Это сладкое слово «свобода» // «Звезда», 2001] [омонимия не снята]
 компромисса с «добрым президентом» и ; без устали ;названивал в канцелярию Путина ;2001;публицистика ,  нехудожественная ;статья ;газета ; И даже в зале заседаний парламента России, наблюдая звериный оскал крупного капитала, ощерившегося на русскую землю, Геннадий Андреевич все еще верил в возможность компромисса с «добрым президентом» и без устали названивал в канцелярию Путина…  [Время узавать врага (2001) // «Молния», 2001.07.10] [омонимия не снята]
 девушки, мужчины и женщины примутся ; без устали ;танцевать, сменяя друг друга ;2001;публицистика ,  нехудожественная ;статья ;газета ;  И едва главный судья в девять утра субботы даст отмашку, как все эти мальчики и девочки, юноши и девушки, мужчины и женщины примутся без устали танцевать, сменяя друг друга на специально положенном в «Олимпийском» паркете.  [Дэнс, дэнс, дэнс. Спорт (2001) // «Известия», 2001.12.06] [омонимия не снята]
  Год она ; без устали ;твердила это, а потом ;2005 ;художественная ;роман ;книга ; Год она без устали твердила это, а потом исчезла вторично.  [Борис Васильев. Дом, который построил Дед (1990-2000)] [омонимия не снята]
 на морозы, сырой ветер дул ; без устали ;устали, и по всему Питеру ;2005 ;художественная ;роман ;книга ; Несмотря на морозы, сырой ветер дул без устали, и по всему Питеру желто светили костры.  [Борис Васильев. Дом, который построил Дед (1990-2000)] [омонимия не снята]
 по ней параллельно Мясницкой, шофер ; без устали ;крутил руль ? въезжал на ;2000 ;художественная ;роман ;книга ; Двигаясь по ней параллельно Мясницкой, шофер без устали крутил руль ? въезжал на тротуар, распугивал прохожих, сигналил…  [Вадим Громов. Компромат для олигарха (2000)] [омонимия не снята]
  И вот мы ; без устали ;бродим по улицам, площадям ;2000 ;публицистика ,  нехудожественная ;мемуары ;книга ; И вот мы без устали бродим по улицам, площадям и бульварам знаменитого города, подымаемся на Эйфелеву башню, не без волнения подходим к импозантному мемориалу Наполеона, гуляем вдоль бурлящих Елисейских полей, по узкой каменной лестнице взбираемся на вершину собора Парижской богоматери, почтительно стоим у стены Коммунаров на кладбише Пер-Лашез.  [Борис Ефимов. Десять десятилетий (2000)] [омонимия не снята]
 сплошные холодные железки, горло пьет ; без устали ;этот чудесный, никогда не ;2000 ;публицистика ,  нехудожественная ;мемуары ;книга ;  Пальцы на руках и ногах слиплись в сплошные холодные железки, горло пьет без устали этот чудесный, никогда не изведанный прозрачный напиток: воздух верхних слоев атмосферы».  [Борис Ефимов. Десять десятилетий (2000)] [омонимия не снята]
